[hunt] up to 1.003e+12 | primes=3414032 t1=1921619 t2=816002 residual=676411 | 9.8s
[hunt] up to 1.003e+12 | primes=3452132 t1=1943045 t2=825197 residual=683890 | 9.9s
[hunt] up to 1.003e+12 | primes=3489815 t1=1964168 t2=834224 residual=691423 | 10.0s
[hunt] up to 1.003e+12 | primes=3527906 t1=1985596 t2=843270 residual=699040 | 10.1s
[hunt] up to 1.003e+12 | primes=3565912 t1=2006833 t2=852395 residual=706684 | 10.2s
[hunt] up to 1.003e+12 | primes=3603934 t1=2028182 t2=861414 residual=714338 | 10.3s
[hunt] up to 1.003e+12 | primes=3641885 t1=2049359 t2=870588 residual=721938 | 10.4s
[hunt] up to 1.003e+12 | primes=3679647 t1=2070613 t2=879580 residual=729454 | 10.5s
[hunt] up to 1.003e+12 | primes=3717316 t1=2091823 t2=888550 residual=736943 | 10.6s
[hunt] up to 1.003e+12 | primes=3755360 t1=2113337 t2=897637 residual=744386 | 10.7s
[hunt] up to 1.003e+12 | primes=3793237 t1=2134628 t2=906707 residual=751902 | 10.9s
[hunt] up to 1.003e+12 | primes=3831066 t1=2155842 t2=915720 residual=759504 | 11.0s
[hunt] up to 1.003e+12 | primes=3868959 t1=2177331 t2=924736 residual=766892 | 11.1s
[hunt] up to 1.003e+12 | primes=3906927 t1=2198710 t2=933776 residual=774441 | 11.2s
[hunt] up to 1.003e+12 | primes=3944872 t1=2219967 t2=942865 residual=782040 | 11.3s
[hunt] up to 1.004e+12 | primes=3982607 t1=2241142 t2=952011 residual=789454 | 11.4s
[hunt] up to 1.004e+12 | primes=4020614 t1=2262587 t2=961069 residual=796958 | 11.5s
[hunt] up to 1.004e+12 | primes=4058907 t1=2283970 t2=970280 residual=804657 | 11.6s
[hunt] up to 1.004e+12 | primes=4096784 t1=2305351 t2=979323 residual=812110 | 11.7s
[hunt] up to 1.004e+12 | primes=4134625 t1=2326646 t2=988308 residual=819671 | 11.8s
[hunt] up to 1.004e+12 | primes=4172643 t1=2347993 t2=997426 residual=827224 | 11.9s
[hunt] up to 1.004e+12 | primes=4210587 t1=2369470 t2=1006398 residual=834719 | 12.1s
[hunt] up to 1.004e+12 | primes=4248612 t1=2390758 t2=1015680 residual=842174 | 12.2s
[hunt] up to 1.004e+12 | primes=4286543 t1=2412064 t2=1024779 residual=849700 | 12.3s
[hunt] up to 1.004e+12 | primes=4324583 t1=2433418 t2=1033886 residual=857279 | 12.4s
[hunt] up to 1.004e+12 | primes=4362735 t1=2454832 t2=1043114 residual=864789 | 12.5s
[hunt] up to 1.004e+12 | primes=4400825 t1=2476224 t2=1052188 residual=872413 | 12.6s
[hunt] up to 1.004e+12 | primes=4438905 t1=2497612 t2=1061291 residual=880002 | 12.7s
[hunt] up to 1.004e+12 | primes=4476821 t1=2518940 t2=1070268 residual=887613 | 12.8s
[hunt] up to 1.004e+12 | primes=4514870 t1=2540322 t2=1079393 residual=895155 | 12.9s
[hunt] up to 1.004e+12 | primes=4552587 t1=2561474 t2=1088312 residual=902801 | 13.0s
[hunt] up to 1.004e+12 | primes=4590521 t1=2582797 t2=1097392 residual=910332 | 13.1s
[hunt] up to 1.004e+12 | primes=4628352 t1=2604200 t2=1106272 residual=917880 | 13.3s
[hunt] up to 1.004e+12 | primes=4666415 t1=2625625 t2=1115357 residual=925433 | 13.4s
[hunt] up to 1.004e+12 | primes=4704613 t1=2647053 t2=1124477 residual=933083 | 13.5s
[hunt] up to 1.004e+12 | primes=4742305 t1=2668392 t2=1133324 residual=940589 | 13.6s
[hunt] up to 1.004e+12 | primes=4780473 t1=2689872 t2=1142480 residual=948121 | 13.7s
[hunt] up to 1.004e+12 | primes=4818336 t1=2711153 t2=1151470 residual=955713 | 13.8s
[hunt] up to 1.004e+12 | primes=4856323 t1=2732436 t2=1160661 residual=963226 | 13.9s
[hunt] up to 1.004e+12 | primes=4894253 t1=2753732 t2=1169713 residual=970808 | 14.0s
[hunt] up to 1.004e+12 | primes=4932174 t1=2775151 t2=1178769 residual=978254 | 14.1s
[hunt] up to 1.004e+12 | primes=4969839 t1=2796313 t2=1187719 residual=985807 | 14.2s
[hunt] up to 1.004e+12 | primes=5007864 t1=2817575 t2=1196831 residual=993458 | 14.3s
[hunt] up to 1.004e+12 | primes=5045828 t1=2839108 t2=1205817 residual=1000903 | 14.5s
[hunt] up to 1.004e+12 | primes=5083803 t1=2860622 t2=1214831 residual=1008350 | 14.6s
[hunt] up to 1.005e+12 | primes=5121930 t1=2882208 t2=1223812 residual=1015910 | 14.7s
[hunt] up to 1.005e+12 | primes=5159933 t1=2903572 t2=1232874 residual=1023487 | 14.8s
[hunt] up to 1.005e+12 | primes=5197875 t1=2924988 t2=1241980 residual=1030907 | 14.9s
[hunt] up to 1.005e+12 | primes=5235876 t1=2946346 t2=1251009 residual=1038521 | 15.0s
[hunt] up to 1.005e+12 | primes=5273860 t1=2967702 t2=1260148 residual=1046010 | 15.1s
[hunt] up to 1.005e+12 | primes=5311635 t1=2988945 t2=1269212 residual=1053478 | 15.2s
[hunt] up to 1.005e+12 | primes=5349482 t1=3010064 t2=1278287 residual=1061131 | 15.3s
[hunt] up to 1.005e+12 | primes=5387259 t1=3031325 t2=1287283 residual=1068651 | 15.4s
[hunt] up to 1.005e+12 | primes=5424982 t1=3052477 t2=1296366 residual=1076139 | 15.5s
[hunt] up to 1.005e+12 | primes=5462840 t1=3073862 t2=1305399 residual=1083579 | 15.7s
[hunt] up to 1.005e+12 | primes=5500679 t1=3095169 t2=1314424 residual=1091086 | 15.8s
