[hunt] up to 1.000e+16 | primes=2646943 t1=1512865 t2=632531 residual=501547 | 8.2s
[hunt] up to 1.000e+16 | primes=2675293 t1=1529107 t2=639299 residual=506887 | 8.3s
[hunt] up to 1.000e+16 | primes=2703561 t1=1545245 t2=646210 residual=512106 | 8.4s
[hunt] up to 1.000e+16 | primes=2732123 t1=1561492 t2=653043 residual=517588 | 8.5s
[hunt] up to 1.000e+16 | primes=2760369 t1=1577779 t2=659615 residual=522975 | 8.5s
[hunt] up to 1.000e+16 | primes=2788885 t1=1594103 t2=666475 residual=528307 | 8.6s
[hunt] up to 1.000e+16 | primes=2817359 t1=1610377 t2=673268 residual=533714 | 8.7s
[hunt] up to 1.000e+16 | primes=2845893 t1=1626622 t2=680095 residual=539176 | 8.8s
[hunt] up to 1.000e+16 | primes=2874125 t1=1642824 t2=686837 residual=544464 | 8.9s
[hunt] up to 1.000e+16 | primes=2902623 t1=1659238 t2=693640 residual=549745 | 9.0s
[hunt] up to 1.000e+16 | primes=2931107 t1=1675596 t2=700380 residual=555131 | 9.1s
[hunt] up to 1.000e+16 | primes=2959339 t1=1691763 t2=707209 residual=560367 | 9.2s
[hunt] up to 1.000e+16 | primes=2987954 t1=1708126 t2=714180 residual=565648 | 9.2s
[hunt] up to 1.000e+16 | primes=3016450 t1=1724418 t2=720965 residual=571067 | 9.3s
[hunt] up to 1.000e+16 | primes=3044931 t1=1740717 t2=727675 residual=576539 | 9.4s
[hunt] up to 1.000e+16 | primes=3073351 t1=1757040 t2=734442 residual=581869 | 9.5s
[hunt] up to 1.000e+16 | primes=3101838 t1=1773392 t2=741183 residual=587263 | 9.6s
[hunt] up to 1.000e+16 | primes=3130433 t1=1789674 t2=748174 residual=592585 | 9.7s
[hunt] up to 1.000e+16 | primes=3159041 t1=1806128 t2=754922 residual=597991 | 9.8s
[hunt] up to 1.000e+16 | primes=3187469 t1=1822311 t2=761761 residual=603397 | 9.9s
[hunt] up to 1.000e+16 | primes=3215897 t1=1838667 t2=768603 residual=608627 | 9.9s
[hunt] up to 1.000e+16 | primes=3244500 t1=1854914 t2=775441 residual=614145 | 10.0s
[hunt] up to 1.000e+16 | primes=3272999 t1=1871199 t2=782257 residual=619543 | 10.1s
[hunt] up to 1.000e+16 | primes=3301370 t1=1887375 t2=789065 residual=624930 | 10.2s
[hunt] up to 1.000e+16 | primes=3329800 t1=1903574 t2=795856 residual=630370 | 10.3s
[hunt] up to 1.000e+16 | primes=3358182 t1=1919716 t2=802625 residual=635841 | 10.4s
[hunt] up to 1.000e+16 | primes=3386356 t1=1935691 t2=809472 residual=641193 | 10.5s
[hunt] up to 1.000e+16 | primes=3414952 t1=1952047 t2=816239 residual=646666 | 10.6s
[hunt] up to 1.000e+16 | primes=3443784 t1=1968610 t2=823089 residual=652085 | 10.7s
[hunt] up to 1.000e+16 | primes=3472437 t1=1984932 t2=830075 residual=657430 | 10.7s
[hunt] up to 1.000e+16 | primes=3500888 t1=2001157 t2=836960 residual=662771 | 10.8s
[hunt] up to 1.000e+16 | primes=3529383 t1=2017496 t2=843698 residual=668189 | 10.9s
[hunt] up to 1.000e+16 | primes=3557837 t1=2033837 t2=850503 residual=673497 | 11.0s
[hunt] up to 1.000e+16 | primes=3586191 t1=2050081 t2=857196 residual=678914 | 11.1s
[hunt] up to 1.000e+16 | primes=3614774 t1=2066514 t2=863920 residual=684340 | 11.2s
[hunt] up to 1.000e+16 | primes=3643029 t1=2082742 t2=870523 residual=689764 | 11.3s
[hunt] up to 1.000e+16 | primes=3671430 t1=2099005 t2=877220 residual=695205 | 11.4s
[hunt] up to 1.000e+16 | primes=3699854 t1=2115343 t2=883987 residual=700524 | 11.4s
[hunt] up to 1.000e+16 | primes=3728414 t1=2131794 t2=890667 residual=705953 | 11.5s
[hunt] up to 1.000e+16 | primes=3756828 t1=2148134 t2=897368 residual=711326 | 11.6s
[hunt] up to 1.000e+16 | primes=3785199 t1=2164217 t2=904195 residual=716787 | 11.7s
[hunt] up to 1.000e+16 | primes=3813755 t1=2180610 t2=910947 residual=722198 | 11.8s
[hunt] up to 1.000e+16 | primes=3842078 t1=2196748 t2=917770 residual=727560 | 11.9s
