[hunt] up to 1.000e+16 | primes=251412 cert=251412 resid_full=0 resid_partial=0 | 10.2s
[hunt] up to 1.000e+16 | primes=253199 cert=253199 resid_full=0 resid_partial=0 | 10.2s
[hunt] up to 1.000e+16 | primes=254945 cert=254945 resid_full=0 resid_partial=0 | 10.3s
[hunt] up to 1.000e+16 | primes=256687 cert=256687 resid_full=0 resid_partial=0 | 10.3s
[hunt] up to 1.000e+16 | primes=258461 cert=258461 resid_full=0 resid_partial=0 | 10.4s
[hunt] up to 1.000e+16 | primes=260246 cert=260246 resid_full=0 resid_partial=0 | 10.5s
[hunt] up to 1.000e+16 | primes=261988 cert=261988 resid_full=0 resid_partial=0 | 10.6s
[hunt] up to 1.000e+16 | primes=263815 cert=263815 resid_full=0 resid_partial=0 | 10.7s
[hunt] up to 1.000e+16 | primes=265649 cert=265649 resid_full=0 resid_partial=0 | 10.7s
[hunt] up to 1.000e+16 | primes=267404 cert=267404 resid_full=0 resid_partial=0 | 10.8s
[hunt] up to 1.000e+16 | primes=269225 cert=269225 resid_full=0 resid_partial=0 | 10.9s
[hunt] up to 1.000e+16 | primes=271080 cert=271080 resid_full=0 resid_partial=0 | 11.0s
[hunt] up to 1.000e+16 | primes=272872 cert=272872 resid_full=0 resid_partial=0 | 11.0s
[hunt] up to 1.000e+16 | primes=274650 cert=274650 resid_full=0 resid_partial=0 | 11.1s
[hunt] up to 1.000e+16 | primes=276419 cert=276418 resid_full=0 resid_partial=1 | 11.2s
[hunt] up to 1.000e+16 | primes=278262 cert=278261 resid_full=0 resid_partial=1 | 11.3s
[hunt] up to 1.000e+16 | primes=280068 cert=280067 resid_full=0 resid_partial=1 | 11.4s
[hunt] up to 1.000e+16 | primes=281816 cert=281815 resid_full=0 resid_partial=1 | 11.5s
[hunt] up to 1.000e+16 | primes=283628 cert=283627 resid_full=0 resid_partial=1 | 11.6s
[hunt] up to 1.000e+16 | primes=285374 cert=285373 resid_full=0 resid_partial=1 | 11.6s
[hunt] up to 1.000e+16 | primes=287111 cert=287110 resid_full=0 resid_partial=1 | 11.7s
[hunt] up to 1.000e+16 | primes=288900 cert=288899 resid_full=0 resid_partial=1 | 11.8s
[hunt] up to 1.000e+16 | primes=290648 cert=290647 resid_full=0 resid_partial=1 | 11.8s
[hunt] up to 1.000e+16 | primes=292464 cert=292463 resid_full=0 resid_partial=1 | 11.9s
[hunt] up to 1.000e+16 | primes=294241 cert=294240 resid_full=0 resid_partial=1 | 12.0s
[hunt] up to 1.000e+16 | primes=296089 cert=296088 resid_full=0 resid_partial=1 | 12.1s
[hunt] up to 1.000e+16 | primes=297921 cert=297920 resid_full=0 resid_partial=1 | 12.1s
[hunt] up to 1.000e+16 | primes=299648 cert=299647 resid_full=0 resid_partial=1 | 12.2s
[hunt] up to 1.000e+16 | primes=301414 cert=301413 resid_full=0 resid_partial=1 | 12.3s
[hunt] up to 1.000e+16 | primes=303196 cert=303195 resid_full=0 resid_partial=1 | 12.3s
[hunt] up to 1.000e+16 | primes=305007 cert=305006 resid_full=0 resid_partial=1 | 12.4s
[hunt] up to 1.000e+16 | primes=306809 cert=306808 resid_full=0 resid_partial=1 | 12.5s
[hunt] up to 1.000e+16 | primes=308615 cert=308614 resid_full=0 resid_partial=1 | 12.5s
[hunt] up to 1.000e+16 | primes=310380 cert=310379 resid_full=0 resid_partial=1 | 12.6s
[hunt] up to 1.000e+16 | primes=312178 cert=312177 resid_full=0 resid_partial=1 | 12.7s
[hunt] up to 1.000e+16 | primes=313932 cert=313931 resid_full=0 resid_partial=1 | 12.8s
[hunt] up to 1.000e+16 | primes=315798 cert=315797 resid_full=0 resid_partial=1 | 12.9s
[hunt] up to 1.000e+16 | primes=317604 cert=317603 resid_full=0 resid_partial=1 | 12.9s
[hunt] up to 1.000e+16 | primes=319325 cert=319324 resid_full=0 resid_partial=1 | 13.0s
[hunt] up to 1.000e+16 | primes=321116 cert=321115 resid_full=0 resid_partial=1 | 13.1s
[hunt] up to 1.000e+16 | primes=322941 cert=322940 resid_full=0 resid_partial=1 | 13.1s
[hunt] up to 1.000e+16 | primes=324732 cert=324731 resid_full=0 resid_partial=1 | 13.2s
[hunt] up to 1.000e+16 | primes=326500 cert=326499 resid_full=0 resid_partial=1 | 13.3s
[hunt] up to 1.000e+16 | primes=328360 cert=328359 resid_full=0 resid_partial=1 | 13.3s
[hunt] up to 1.000e+16 | primes=330113 cert=330112 resid_full=0 resid_partial=1 | 13.4s
[hunt] up to 1.000e+16 | primes=331858 cert=331857 resid_full=0 resid_partial=1 | 13.5s
[hunt] up to 1.000e+16 | primes=333623 cert=333622 resid_full=0 resid_partial=1 | 13.6s
[hunt] up to 1.000e+16 | primes=335335 cert=335334 resid_full=0 resid_partial=1 | 13.6s
[hunt] up to 1.000e+16 | primes=337080 cert=337079 resid_full=0 resid_partial=1 | 13.7s
[hunt] up to 1.000e+16 | primes=338821 cert=338820 resid_full=0 resid_partial=1 | 13.8s
[hunt] up to 1.000e+16 | primes=340567 cert=340566 resid_full=0 resid_partial=1 | 13.8s
[hunt] up to 1.000e+16 | primes=342315 cert=342314 resid_full=0 resid_partial=1 | 13.9s
[hunt] up to 1.000e+16 | primes=344079 cert=344078 resid_full=0 resid_partial=1 | 14.0s
[hunt] up to 1.000e+16 | primes=345840 cert=345839 resid_full=0 resid_partial=1 | 14.0s
[hunt] up to 1.000e+16 | primes=347578 cert=347577 resid_full=0 resid_partial=1 | 14.1s
[hunt] up to 1.000e+16 | primes=349351 cert=349350 resid_full=0 resid_partial=1 | 14.2s
[hunt] up to 1.000e+16 | primes=351189 cert=351188 resid_full=0 resid_partial=1 | 14.2s
[hunt] up to 1.000e+16 | primes=353015 cert=353014 resid_full=0 resid_partial=1 | 14.3s
[hunt] up to 1.000e+16 | primes=354756 cert=354755 resid_full=0 resid_partial=1 | 14.4s
[hunt] up to 1.000e+16 | primes=356526 cert=356525 resid_full=0 resid_partial=1 | 14.5s
[hunt] up to 1.000e+16 | primes=358348 cert=358347 resid_full=0 resid_partial=1 | 14.5s
[hunt] up to 1.000e+16 | primes=360117 cert=360116 resid_full=0 resid_partial=1 | 14.6s
[hunt] up to 1.000e+16 | primes=361912 cert=361911 resid_full=0 resid_partial=1 | 14.6s
[hunt] up to 1.000e+16 | primes=363644 cert=363643 resid_full=0 resid_partial=1 | 14.7s
[hunt] up to 1.000e+16 | primes=365371 cert=365370 resid_full=0 resid_partial=1 | 14.7s
[hunt] up to 1.000e+16 | primes=367137 cert=367136 resid_full=0 resid_partial=1 | 14.8s
[hunt] up to 1.000e+16 | primes=368960 cert=368959 resid_full=0 resid_partial=1 | 14.9s
[hunt] up to 1.000e+16 | primes=370681 cert=370680 resid_full=0 resid_partial=1 | 15.0s
[hunt] up to 1.000e+16 | primes=372409 cert=372408 resid_full=0 resid_partial=1 | 15.0s
[hunt] up to 1.000e+16 | primes=374140 cert=374139 resid_full=0 resid_partial=1 | 15.1s
[hunt] up to 1.000e+16 | primes=375939 cert=375938 resid_full=0 resid_partial=1 | 15.2s
[hunt] up to 1.000e+16 | primes=377696 cert=377695 resid_full=0 resid_partial=1 | 15.3s
[hunt] up to 1.000e+16 | primes=379485 cert=379484 resid_full=0 resid_partial=1 | 15.3s
[hunt] up to 1.000e+16 | primes=381303 cert=381302 resid_full=0 resid_partial=1 | 15.4s
[hunt] up to 1.000e+16 | primes=383100 cert=383099 resid_full=0 resid_partial=1 | 15.5s
[hunt] up to 1.000e+16 | primes=384871 cert=384870 resid_full=0 resid_partial=1 | 15.5s
[hunt] up to 1.000e+16 | primes=386605 cert=386604 resid_full=0 resid_partial=1 | 15.6s
[hunt] up to 1.000e+16 | primes=388368 cert=388367 resid_full=0 resid_partial=1 | 15.7s
[hunt] up to 1.000e+16 | primes=390198 cert=390197 resid_full=0 resid_partial=1 | 15.8s
[hunt] up to 1.000e+16 | primes=392059 cert=392058 resid_full=0 resid_partial=1 | 15.8s
[hunt] up to 1.000e+16 | primes=393872 cert=393871 resid_full=0 resid_partial=1 | 15.9s
[hunt] up to 1.000e+16 | primes=395643 cert=395642 resid_full=0 resid_partial=1 | 16.0s
[hunt] up to 1.000e+16 | primes=397397 cert=397396 resid_full=0 resid_partial=1 | 16.0s
[hunt] up to 1.000e+16 | primes=399207 cert=399206 resid_full=0 resid_partial=1 | 16.1s
[hunt] up to 1.000e+16 | primes=400993 cert=400992 resid_full=0 resid_partial=1 | 16.2s
